iter	MultiClass
0	1.088087515
1	1.077543924
2	1.066485916
3	1.05887232
4	1.048145732
5	1.038691508
6	1.03037454977	1.02480705
8	1.018931078
9	1.011643988
10	1.004563568
11	0.9959083711
12	0.9911815221
13	0.9835827742
14	0.9759817512
15	0.9701159512
16	0.9627843459
17	0.9568550853
18	0.951983983
19	0.9469182586
20	0.9416283188
21	0.9372149327
22	0.9299392764
23	0.9267255414
24	0.9226097289
25	0.9182773377
26	0.9136461407
27	0.9094791089
28	0.9035103772
29	0.8986663221
30	0.8928344342
31	0.8902926611
32	0.8874219873
33	0.8820744671
34	0.8785861394
35	0.8750325
36	0.8708177754
37	0.8662083326
38	0.8621204906
39	0.8593662289
40	0.8563692099
41	0.8533886448
42	0.8505661036
43	0.8462472674
44	0.8434572462
45	0.8399801688
46	0.8368736468
47	0.8342826948
48	0.8326334505
49	0.8291700255
50	0.8259881553
51	0.8237436854
52	0.8203197147
53	0.8166391716
54	0.8147845129
55	0.8122285689
56	0.8100874913
57	0.806715233
58	0.8037779868
59	0.8016673466
60	0.8003066801
61	0.7983334507
62	0.7973313474
63	0.7948665505
64	0.7911921139
65	0.7886547845
66	0.7863560396
67	0.7844631161
68	0.7822898236
69	0.7804988103
70	0.7786728954
71	0.7766656986
72	0.7748544295
73	0.7720876593
74	0.7693554894
75	0.7672312859
76	0.7647421909
77	0.76259417
78	0.7610212794
79	0.7580919259
80	0.7559702965
81	0.7539566785
82	0.7528198372
83	0.7505467451
84	0.7477409961
85	0.7455410553
86	0.7434860127
87	0.7413341766
88	0.7384331465
89	0.7372786553
90	0.7358877628
91	0.7332259967
92	0.7317267133
93	0.7298455499
94	0.7268394313
95	0.7251194217
96	0.723499326
97	0.7211906715
98	0.7192879165
99	0.7172906886
100	0.7161949697
101	0.7144196555
102	0.7124072983
103	0.7099705604
104	0.709179515
105	0.707095215
106	0.7047233961
107	0.7033455131
108	0.7018405777
109	0.6996923054
110	0.6977503324
111	0.696059179
112	0.6940490474
113	0.692679264
114	0.6914699173
115	0.6902448183
116	0.6893838397
117	0.6881050552
118	0.6864257838
119	0.6851441029
120	0.682687593
121	0.6803271555
122	0.678521911
123	0.6768044681
124	0.6751750881
125	0.67350813
126	0.6723393778
127	0.6705373524
128	0.6687298473
129	0.6671732417
130	0.6656663279
131	0.6642029715
132	0.6617710261
133	0.6603495878
134	0.6589691535
135	0.6577029925
136	0.6562965415
137	0.6554825562
138	0.654139341
139	0.652417376
140	0.6512514685
141	0.64989567
142	0.6485855229
143	0.6468400622
144	0.644939111
145	0.6439905814
146	0.6419337976
147	0.6395515073
148	0.6386483561
149	0.6373771288
150	0.635470093
151	0.6346030844
152	0.6328651351
153	0.631531353
154	0.6305910876
155	0.6290405377
156	0.6279305599
157	0.6270821686
158	0.625672948
159	0.6241713672
160	0.6230856362
161	0.6219801192
162	0.6209809425
163	0.6194799756
164	0.6186040533
165	0.6164743865
166	0.6151328587
167	0.6136873511
168	0.6129525636
169	0.6122351509
170	0.6108844697
171	0.6093282881
172	0.6085326701
173	0.6069398249
174	0.605348132
175	0.6047521695
176	0.6030778265
177	0.6013947955
178	0.6001836395
179	0.5991300762
180	0.5973879638
181	0.5963704934
182	0.5940789837
183	0.5924727454
184	0.5911259047
185	0.5900971301
186	0.5893464768
187	0.5878264179
188	0.5869631752
189	0.5858113494
190	0.5839398325
191	0.5825322156
192	0.5811727599
193	0.579631502
194	0.5787388757
195	0.5765226994
196	0.5753065802
197	0.5740351951
198	0.5735420094
199	0.5719613207
200	0.5710362306
201	0.5697947597
202	0.5689336121
203	0.5680134813
204	0.5668923749
205	0.5663560278
206	0.5652811663
207	0.56404832
208	0.5630519424
209	0.5620542502
210	0.5608694476
211	0.5595679655
212	0.5585438544
213	0.5580926613
214	0.55706793
215	0.5560570203
216	0.5549411842
217	0.553890605
218	0.5532500993
219	0.5522838976
220	0.5512203345
221	0.5501892106
222	0.5491485619
223	0.5482456405
224	0.5471478055
225	0.5459548565
226	0.5446471683
227	0.5430439756
228	0.5418977137
229	0.5403218885
230	0.5394354696
231	0.5387904137
232	0.5381353859
233	0.5372606658
234	0.5355027502
235	0.534213174
236	0.533316468
237	0.5323865327
238	0.5314274798
239	0.5305974618
240	0.5292786762
241	0.5285691754
242	0.5272781614
243	0.5264495539
244	0.5258268551
245	0.5246839736
246	0.5233839134
247	0.5227613713
248	0.5215523434
249	0.5206678977
250	0.5197847529
251	0.5188167474
252	0.5182776787
253	0.5172546206
254	0.5164796482
255	0.5157879418
256	0.5146041084
257	0.5135553329
258	0.5128869067
259	0.5119773453
260	0.5109255051
261	0.510085972
262	0.5088934734
263	0.5076474828
264	0.5070928359
265	0.5061142175
266	0.5052273974
267	0.5044211315
268	0.5033714609
269	0.5028510911
270	0.5023114863
271	0.5016619051
272	0.501279958
273	0.5005417451
274	0.4998791315
275	0.4988680477
276	0.498193684
277	0.4972202406
278	0.496496962
279	0.4959031206
280	0.4954755117
281	0.4947760576
282	0.4940228084
283	0.4932621205
284	0.4926813771
285	0.4918467937
286	0.4910859777
287	0.490599033
288	0.4891802594
289	0.4882677389
290	0.4872652693
291	0.4860959424
292	0.485559294
293	0.4850324947
294	0.4844778463
295	0.4838290696
296	0.4824010411
297	0.4819109407
298	0.4807425308
299	0.480132976
300	0.4793931914
301	0.4785120511
302	0.4777186976
303	0.4770907625
304	0.4762589436
305	0.4753079986
306	0.4741547716
307	0.4733716089
308	0.472793471
309	0.4721043609
310	0.4714461042
311	0.4708501016
312	0.4701182361
313	0.4693599798
314	0.4687742307
315	0.4680035897
316	0.4676298169
317	0.4662865321
318	0.465689234
319	0.4648306574
320	0.4641208971
321	0.4629136019
322	0.4618709813
323	0.4610528609
324	0.4607498818
325	0.4601142514
326	0.4591867904
327	0.4585362262
328	0.458054465
329	0.4574892709
330	0.4569022087
331	0.456630651
332	0.4561552425
333	0.4553600081
334	0.4549667178
335	0.4541262029
336	0.4533322832
337	0.4527713215
338	0.4520868451
339	0.4514093277
340	0.4509455982
341	0.4502785666
342	0.4494201578
343	0.4488435991
344	0.4481311515
345	0.4470968027
346	0.446265996
347	0.445860066
348	0.4452475336
349	0.4446026203
350	0.444235314
351	0.4433690056
352	0.4427115379
353	0.4419999752
354	0.4413615177
355	0.4404254061
356	0.439858954
357	0.4395060814
358	0.4386048622
359	0.4378076039
360	0.4368585135
361	0.4367008392
362	0.4359270035
363	0.4351966459
364	0.4344509905
365	0.433870263
366	0.4332228973
367	0.4325613834
368	0.4319909804
369	0.4316461983
370	0.4308117332
371	0.4298666615
372	0.4292784154
373	0.4285821958
374	0.427918228
375	0.4275776392
376	0.4269777694
377	0.4261725214
378	0.4258228343
379	0.425267125
380	0.4249214753
381	0.4243449638
382	0.4237745266
383	0.4231200267
384	0.4226888494
385	0.4222769019
386	0.4216054197
387	0.4210004939
388	0.4200622741
389	0.4192119701
390	0.4186054915
391	0.4182063265
392	0.4175298066
393	0.4169792681
394	0.416632643
395	0.4162081829
396	0.4159701304
397	0.4151919662
398	0.4146027939
399	0.4139463735
400	0.4135649389
401	0.4131092816
402	0.4128482553
403	0.4122297154
404	0.4115378135
405	0.4110242115
406	0.4104772372
407	0.4100337542
408	0.40951077
409	0.4089550258
410	0.4086432653
411	0.4081340211
412	0.4077906424
413	0.4071778137
414	0.4066932827
415	0.4059096596
416	0.4051638182
417	0.4048426667
418	0.4042915349
419	0.4035489305
420	0.4031988651
421	0.4024813112
422	0.4022431162
423	0.4016935955
424	0.4012161874
425	0.4006245092
426	0.4003886182
427	0.3996673875
428	0.3992390257
429	0.3988841581
430	0.3985142944
431	0.3981810447
432	0.3977995108
433	0.3969853697
434	0.3968467027
435	0.3964411971
436	0.3958629436
437	0.3954387508
438	0.3950023784
439	0.3947146745
440	0.394460727
441	0.3937331378
442	0.3932432249
443	0.3927179546
444	0.3921034686
445	0.3915514196
446	0.3913098991
447	0.3907392436
448	0.3903151265
449	0.3897254688
450	0.389433318
451	0.3891411237
452	0.3885087265
453	0.3881539249
454	0.3877635565
455	0.3872326338
456	0.3867567071
457	0.3859452079
458	0.3855337081
459	0.3851691188
460	0.3846856313
461	0.3844227113
462	0.3841988422
463	0.3838717768
464	0.3835548807
465	0.382996182
466	0.3825984172
467	0.3823242543
468	0.3818759799
469	0.3813278802
470	0.3809106365
471	0.3806009487
472	0.3801205348
473	0.3794283867
474	0.3790560293
475	0.3787114082
476	0.3782455212
477	0.3780107063
478	0.3777412466
479	0.3774052673
480	0.3771014755
481	0.3766184983
482	0.3763029374
483	0.3760232327
484	0.3755203808
485	0.3751040046
486	0.3746271054
487	0.3743031646
488	0.3740080384
489	0.3736316539
490	0.3732500792
491	0.3728382535
492	0.3722154706
493	0.3719921776
494	0.3716517056
495	0.3712039401
496	0.3706656942
497	0.370314604
498	0.3698394382
499	0.3696110122
5397716
697
