iter	Passed	Remaining
0	189	94722
1	240	59872
2	291	48346
3	331	41120
4	370	36678
5	412	33969
6	447	31525
7	483	29747
8	518	28282
9	554	27174
10	585	26016
11	622	25296
12	662	24817
13	709	24620
14	749	24237
15	786	23789
16	824	23433
17	879	23549
18	920	23300
19	951	22846
20	1008	22992221	1050	22832222	1115	23128223	1159	22995224	1198	22764225	1241	22637226	1281	22442
27	1341	22612
28	1390	22575
29	1439	22557
30	1493	22589
31	1539	22516
32	1594	22569
33	1640	22478
34	1685	22393
35	1741	22445
36	1795	22470
37	1845	22443
38	1903	22503
39	1966	22613
40	2042	22861
41	2095	22849
42	2152	22876
43	2197	22771
44	2248	22735
45	2303	22735
46	2357	22721
47	2406	22665
48	2450	22552
49	2508	22575
50	2563	22567
51	2605	22443
52	2658	22418
53	2705	22345
54	2756	22304
55	2791	22133
56	2831	22003
57	2872	21888
58	2906	21727
59	2940	21564
60	2975	21415
61	3011	21272
62	3044	21121
63	3070	20920
64	3100	20746
65	3127	20564
66	3152	20374
67	3177	20184
68	3205	20021
69	3233	19862
70	3262	19713
71	3296	19593
72	3320	19424
73	3349	19280
74	3378	19146
75	3407	19010
76	3433	18864
77	3460	18721
78	3485	18577
79	3513	18447
80	3538	18302
81	3566	18180
82	3592	18047
83	3625	17953
84	3655	17847
85	3682	17727
86	3709	17608
87	3732	17476
88	3759	17360
89	3784	17242
90	3810	17127
91	3843	17047
92	3871	16944
93	3898	16838
94	3931	16761
95	3963	16679
96	3992	16585
97	4019	16488
98	4047	16396
99	4074	16296
100	4103	16211
101	4127	16106
102	4153	16008
103	4181	15922
104	4210	15841
105	4237	15750
106	4261	15651
107	4290	15574
108	4319	15494
109	4347	15414
110	4372	15323
111	4398	15236
112	4426	15158
113	4452	15075
114	4476	14987
115	4502	14903
116	4528	14823
117	4553	14739
118	4576	14652
119	4601	14571
120	4626	14491
121	4650	14409
122	4674	14326
123	4698	14245
124	4721	14164
125	4745	14084
126	4770	14011
127	4798	13945
128	4824	13875
129	4851	13806
130	4879	13744
131	4910	13689
132	4938	13628
133	4971	13578
134	5002	13524
135	5032	13468
136	5058	13403
137	5086	13343
138	5117	13289
139	5145	13230
140	5176	13180
141	5209	13134
142	5264	13142
143	5294	13090
144	5321	13029
145	5348	12967
146	5378	12915
147	5405	12855
148	5431	12795
149	5456	12731
150	5486	12681
151	5518	12633
152	5542	12570
153	5572	12519
154	5597	12459
155	5623	12399
156	5650	12345
157	5678	12291
158	5706	12238
159	5735	12188
160	5766	12140
161	5795	12091
162	5821	12034
163	5851	11988
164	5881	11940
165	5913	11898
166	5942	11850
167	5969	11797
168	5999	11751
169	6030	11707
170	6062	11664
171	6088	11610
172	6111	11552
173	6138	11500
174	6165	11449
175	6190	11395
176	6216	11345
177	6245	11298
178	6276	11254
179	6301	11202
180	6328	11153
181	6357	11108
182	6383	11057
183	6408	11006
184	6437	10960
185	6466	10917
186	6496	10873
187	6522	10824
188	6550	10778
189	6575	10727
190	6601	10680
191	6625	10627
192	6649	10577
193	6676	10531
194	6701	10481
195	6728	10436
196	6753	10386
197	6777	10337
198	6800	10286
199	6834	10252
200	6869	10218
201	6894	10171
202	6922	10127
203	6948	10081
204	6977	10040
205	7002	9993
206	7031	9952
207	7060	9911
208	7087	9868
209	7115	9826
210	7143	9784
211	7169	9740
212	7202	9704
213	7230	9662
214	7257	9620
215	7285	9579
216	7311	9535
217	7336	9490
218	7362	9446
219	7390	9405
220	7418	9365
221	7446	9324
222	7478	9289
223	7509	9252
224	7535	9210
225	7565	9172
226	7602	9143
227	7631	9104
228	7661	9067
229	7690	9027
230	7716	8985
231	7745	8947
232	7774	8909
233	7800	8866
234	7823	8822
235	7851	8782
236	7877	8741
237	7904	8701
238	7930	8660
239	7955	8618
240	7984	8580
241	8014	8543
242	8038	8501
243	8063	8460
244	8088	8418
245	8125	8389
246	8153	8351
247	8178	8310
248	8206	8272
249	8230	8230
250	8259	8193
251	8283	8151
252	8307	8110
253	8335	8072
254	8361	8033
255	8393	8000
256	8422	7963
257	8448	7924
258	8473	7884
259	8503	7849
260	8528	7809
261	8552	7769
262	8578	7730
263	8605	7692
264	8633	7655
265	8659	7617
266	8683	7577
267	8707	7537
268	8732	7498
269	8755	7458
270	8777	7417
271	8804	7380
272	8833	7344
273	8863	7310
274	8892	7275
275	8918	7238
276	8945	7201
277	8970	7163
278	8998	7127
279	9025	7091
280	9054	7056
281	9079	7019
282	9108	6984
283	9133	6946
284	9164	6913
285	9189	6876
286	9217	6840
287	9247	6807
288	9276	6772
289	9300	6735
290	9327	6699
291	9355	6664
292	9381	6627
293	9409	6592
294	9434	6556
295	9465	6523
296	9491	6487
297	9520	6453
298	9550	6420
299	9579	6386
300	9607	6351
301	9642	6321
302	9671	6287
303	9699	6253
304	9727	6219
305	9751	6182
306	9785	6151
307	9808	6114
308	9832	6077
309	9861	6044
310	9892	6012
311	9929	5983
312	9952	5946
313	9980	5912
314	10004	5875
315	10033	5842
316	10060	5807
317	10094	5777
318	10128	5746
319	10165	5718
320	10216	5697
321	10261	5672
322	10294	5641
323	10323	5607
324	10349	5572
325	10376	5538
326	10403	5503
327	10429	5468
328	10454	5433
329	10486	5401
330	10513	5367
331	10541	5334
332	10570	5301
333	10601	5269
334	10628	5234
335	10652	5199
336	10677	5164
337	10703	5130
338	10732	5097
339	10762	5064
340	10788	5030
341	10812	4995
342	10858	4970
343	10887	4937
344	10915	4904
345	10942	4870
346	10968	4836
347	10996	4803
348	11020	4768
349	11056	4738
350	11086	4706
351	11119	4675
352	11156	4645
353	11187	4613
354	11216	4581
355	11247	4549
356	11276	4517
357	11304	4483
358	11331	4450
359	11355	4415
360	11378	4381
361	11402	4346
362	11430	4313
363	11460	4281
364	11490	4249
365	11517	4216
366	11546	4184
367	11575	4151
368	11601	4118
369	11627	4085
370	11652	4051
371	11680	4019
372	11704	3985
373	11731	3952
374	11761	3920
375	11787	3887
376	11814	3854
377	11845	3823
378	11877	3792
379	11904	3759
380	11931	3726
381	11958	3694
382	11984	3660
383	12008	3627
384	12033	3594
385	12060	3562
386	12091	3530
387	12122	3499
388	12148	3466
389	12174	3433
390	12201	3401
391	12225	3368
392	12254	3336
393	12285	3305
394	12313	3273
395	12339	3240
396	12369	3209
397	12399	3177
398	12423	3144
399	12450	3112
400	12475	3080
401	12502	3047
402	12527	3015
403	12550	2982
404	12575	2949
405	12601	2917
406	12627	2885
407	12653	2853
408	12682	2821
409	12713	2790
410	12741	2759
411	12773	2728
412	12801	2696
413	12827	2664
414	12853	2632
415	12879	2600
416	12903	2568
417	12927	2536
418	12950	2503
419	12975	2471
420	13005	2440
421	13028	2408
422	13053	2376
423	13078	2344
424	13105	2312
425	13128	2280
426	13154	2248
427	13179	2217
428	13205	2185
429	13232	2154
430	13261	2123
431	13293	2092
432	13322	2061
433	13349	2030
434	13373	1998
435	13397	1966
436	13421	1934
437	13446	1903
438	13469	1871
439	13492	1839
440	13510	1807
441	13529	1775
442	13549	1743
443	13568	1711
444	13591	1679
445	13610	1647
446	13630	1616
447	13652	1584
448	13671	1552
449	13692	1521
450	13711	1489
451	13737	1458
452	13757	1427
453	13777	1396
454	13797	1364
455	13819	1333
456	13841	1302
457	13862	1271
458	13882	1240
459	13898	1208
460	13912	1176
461	13924	1145
462	13937	1113
463	13953	1082
464	13966	1051
465	13979	1019
466	13992	988
467	14005	957
468	14018	926
469	14032	895
470	14045	864
471	14058	833
472	14072	803
473	14085	772
474	14098	742
475	14111	711
476	14124	681
477	14138	650
478	14151	620
479	14164	590
480	14177	560
481	14190	529
482	14204	499
483	14217	469
484	14231	440
485	14244	410
486	14258	380
487	14273	350
488	14287	321
489	14300	291
490	14314	262
491	14330	233
492	14343	203
493	14357	174
494	14370	145
495	14383	115
496	14396	86
497	14409	57
498	14422	28
499	14436	0
