entry_date,exit_date,type,entry_price,exit_price,shares,stop_loss,take_profit,pnl,pnl_pct,exit_reason,commission
2026-08-31 09:30:00-04:00,2026-08-31 11:30:00-04:00,long,0.2908,0.2849,92,0.285,0.3025,-0.55,-2.04,Stop-loss,0.92
2026-08-31 11:30:00-04:00,2026-08-31 12:30:00-04:00,long,0.287,0.2812,89,0.2813,0.2985,-0.52,-2.04,Stop-loss,0.89
2026-08-31 12:30:00-04:00,2026-09-01 09:30:00-04:00,long,0.2797,0.274,87,0.2741,0.2909,-0.5,-2.05,Stop-loss,0.87
2026-09-01 09:30:00-04:00,2026-09-01 09:45:00-04:00,long,0.2762,0.2658,83,0.2659,0.2917,-0.87,-3.78,Stop-loss,0.83
2026-09-01 09:45:00-04:00,2026-09-02 09:30:00-04:00,long,0.2697,0.2583,80,0.2584,0.2867,-0.91,-4.24,Stop-loss,0.8
2026-09-02 09:30:00-04:00,2026-09-02 10:00:00-04:00,long,0.2645,0.2566,76,0.2567,0.2763,-0.6,-3.0,Stop-loss,0.76
2026-09-02 10:00:00-04:00,2026-09-02 11:15:00-04:00,long,0.2552,0.2453,73,0.2454,0.27,-0.72,-3.89,Stop-loss,0.73
2026-09-02 11:15:00-04:00,2026-09-03 09:30:00-04:00,long,0.2473,0.2666,71,0.2344,0.2667,1.37,7.79,Take-profit,0.71
2026-09-03 09:30:00-04:00,2026-09-03 09:45:00-04:00,long,0.3353,0.3111,54,0.3113,0.3712,-1.3,-7.2,Stop-loss,0.54
2026-09-03 09:45:00-04:00,2026-09-03 10:15:00-04:00,long,0.3152,0.3677,52,0.28,0.3679,2.73,16.66,Take-profit,0.52
2026-09-03 10:15:00-04:00,2026-09-03 12:00:00-04:00,long,0.3681,0.441,50,0.3193,0.4412,3.64,19.8,Take-profit,0.5
2026-09-03 12:00:00-04:00,2026-09-04 10:45:00-04:00,long,0.433,0.3432,49,0.3434,0.5674,-4.4,-20.73,Stop-loss,0.49
2026-09-04 10:45:00-04:00,2026-09-04 15:45:00-04:00,long,0.3445,0.3604,49,0.307,0.4007,0.54,4.62,End of backtest,0.49
