pair,direction,entry_price,exit_price,units,pnl_pips,pnl_usd,spread_cost,swap_cost,bars_held,reason,entry_date,exit_date
AUDUSD,SHORT,0.716333695602417,0.71753,4000,-12.0,-6.2,0.6,0.8,99,SL,2026-08-31 00:15:00+01:00,2026-09-01 01:00:00+01:00
AUDUSD,SHORT,0.7148996078491211,0.7161,4000,-12.0,-5.4,0.6,0.0,6,SL,2026-09-01 13:30:00+01:00,2026-09-01 15:00:00+01:00
AUDUSD,LONG,0.7239009058952331,0.7238,4000,-1.0,-1.01,0.6,0.0,2,Signal flip,2026-09-09 08:00:00+01:00,2026-09-09 08:30:00+01:00
AUDUSD,SHORT,0.7218152963638306,0.72302,4000,-12.0,-5.4,0.6,0.0,9,SL,2026-09-09 12:00:00+01:00,2026-09-09 14:15:00+01:00
AUDUSD,SHORT,0.7173615777015686,0.71856,4000,-12.0,-6.0,0.6,0.6,87,SL,2026-09-10 16:00:00+01:00,2026-09-11 13:45:00+01:00
AUDUSD,SHORT,0.71520639295578,0.71271,3000,25.0,6.9,0.45,0.15,42,TP,2026-09-14 03:00:00+01:00,2026-09-14 13:30:00+01:00
AUDUSD,SHORT,0.7133694374084473,0.71457,4000,-12.0,-5.4,0.6,0.0,5,SL,2026-09-14 16:00:00+01:00,2026-09-14 17:15:00+01:00
AUDUSD,SHORT,0.7139297210693359,0.71143,3000,25.0,6.0,0.45,1.05,180,TP,2026-09-14 22:15:00+01:00,2026-09-16 19:15:00+01:00
AUDUSD,SHORT,0.7093207919120789,0.71052,4000,-12.0,-5.4,0.6,0.0,16,SL,2026-09-17 00:15:00+01:00,2026-09-17 04:15:00+01:00
AUDUSD,SHORT,0.7113899671554565,0.71259,3000,-12.0,-4.2,0.45,0.15,28,SL,2026-09-17 06:15:00+01:00,2026-09-17 13:15:00+01:00
AUDUSD,SHORT,0.7115418397903442,0.71274,3000,-12.0,-4.05,0.45,0.0,12,SL,2026-09-18 01:00:00+01:00,2026-09-18 04:00:00+01:00
AUDUSD,SHORT,0.7112381541252136,0.71244,3000,-12.0,-4.05,0.45,0.0,4,SL,2026-09-18 16:45:00+01:00,2026-09-18 17:45:00+01:00
AUDUSD,SHORT,0.7120992624282837,0.71215,3000,-0.5,-0.6,0.45,0.0,1,End of backtest,2026-09-18 22:00:00+01:00,2026-09-18 22:15:00+01:00
