pair,direction,entry_price,exit_price,units,pnl_pips,pnl_usd,spread_cost,swap_cost,bars_held,reason,entry_date,exit_date
EURUSD,SHORT,1.0963209354400634,1.09822,2000,-19.0,-4.1,0.3,0.0,2,SL,2024-10-04 13:00:00+01:00,2024-10-04 15:00:00+01:00
EURUSD,SHORT,1.0962008916854857,1.0982,2000,-20.0,-4.3,0.3,0.0,19,SL,2024-10-04 16:00:00+01:00,2024-10-07 12:00:00+01:00
EURUSD,SHORT,1.0909383975982665,1.09263,2000,-16.9,-3.69,0.3,0.0,2,SL,2024-10-10 17:00:00+01:00,2024-10-10 19:00:00+01:00
EURUSD,SHORT,1.0839608394622802,1.07953,1000,44.4,4.29,0.15,0.0,1,TP,2024-11-06 01:00:00+00:00,2024-11-06 02:00:00+00:00
EURUSD,SHORT,1.076724001121521,1.07131,1000,54.1,5.26,0.15,0.0,4,TP,2024-11-06 02:00:00+00:00,2024-11-06 06:00:00+00:00
EURUSD,SHORT,1.0486077749252318,1.05184,1000,-32.4,-3.39,0.15,0.0,13,SL,2024-11-25 00:00:00+00:00,2024-11-25 13:00:00+00:00
EURUSD,SHORT,1.0530249559402465,1.04803,1000,49.9,4.84,0.15,0.0,3,TP,2024-11-25 13:00:00+00:00,2024-11-25 16:00:00+00:00
EURUSD,SHORT,1.0509221040725707,1.04567,1000,52.5,5.1,0.15,0.0,5,TP,2024-11-25 18:00:00+00:00,2024-11-25 23:00:00+00:00
EURUSD,SHORT,1.0577033245086669,1.05264,1000,50.6,4.81,0.15,0.1,57,TP,2024-11-27 16:00:00+00:00,2024-12-02 02:00:00+00:00
EURUSD,SHORT,1.052803226661682,1.04915,2000,36.5,7.01,0.3,0.0,19,TP,2024-12-03 08:00:00+00:00,2024-12-04 03:00:00+00:00
EURUSD,SHORT,1.0389110528945922,1.04172,1000,-28.1,-2.96,0.15,0.0,7,SL,2024-12-19 02:00:00+00:00,2024-12-19 09:00:00+00:00
EURUSD,SHORT,1.0415081464767455,1.03735,2000,41.6,8.01,0.3,0.0,7,TP,2024-12-19 09:00:00+00:00,2024-12-19 16:00:00+00:00
EURUSD,SHORT,1.0309841119766234,1.03318,2000,-21.9,-4.69,0.3,0.0,16,SL,2025-01-14 21:00:00+00:00,2025-01-15 13:00:00+00:00
EURUSD,SHORT,1.0283333742141723,1.03106,1000,-27.3,-2.93,0.15,0.05,24,SL,2025-01-15 16:00:00+00:00,2025-01-16 16:00:00+00:00
EURUSD,SHORT,1.0424854242324828,1.0448,2000,-23.1,-4.92,0.3,0.0,1,SL,2025-01-22 08:00:00+00:00,2025-01-22 09:00:00+00:00
EURUSD,SHORT,1.0947606050491332,1.10072,1000,-59.5,-6.1,0.15,0.0,9,SL,2025-04-04 20:00:00+01:00,2025-04-07 06:00:00+01:00
EURUSD,SHORT,1.1398108684539794,1.13731,1000,25.0,2.35,0.15,0.0,12,Trail,2025-04-11 13:00:00+01:00,2025-04-14 02:00:00+01:00
EURUSD,SHORT,1.1361845218658446,1.12882,1000,73.7,7.22,0.15,0.0,18,TP,2025-04-14 22:00:00+01:00,2025-04-15 16:00:00+01:00
EURUSD,SHORT,1.133994051170349,1.13851,1000,-45.2,-4.67,0.15,0.0,16,SL,2025-04-23 17:00:00+01:00,2025-04-24 09:00:00+01:00
EURUSD,SHORT,1.1376064502716063,1.1321,1000,55.1,5.36,0.15,0.0,4,TP,2025-05-02 14:00:00+01:00,2025-05-02 18:00:00+01:00
EURUSD,SHORT,1.1808663093566893,1.177,2000,38.7,7.44,0.3,0.0,8,TP,2025-07-01 09:00:00+01:00,2025-07-01 17:00:00+01:00
