pair,direction,entry_price,exit_price,units,pnl_pips,pnl_usd,spread_cost,swap_cost,bars_held,reason,entry_date,exit_date
GBPCAD,SHORT,1.850900002670288,1.84474,1000,61.6,6.01,0.15,0.0,23,TP,2026-04-17 20:00:00+01:00,2026-04-20 22:00:00+01:00
GBPCAD,SHORT,1.8445599758148192,1.8468,2000,-22.4,-4.78,0.3,0.0,12,SL,2026-04-21 18:00:00+01:00,2026-04-22 06:00:00+01:00
GBPCAD,SHORT,1.848630019378662,1.84322,2000,54.1,10.52,0.3,0.0,19,TP,2026-04-24 17:00:00+01:00,2026-04-27 13:00:00+01:00
GBPCAD,SHORT,1.8475100481033324,1.85,2000,-24.9,-5.28,0.3,0.0,4,SL,2026-04-28 15:00:00+01:00,2026-04-28 19:00:00+01:00
GBPCAD,SHORT,1.8426999532699584,1.84482,2000,-21.2,-4.54,0.3,0.0,3,SL,2026-04-30 07:00:00+01:00,2026-04-30 10:00:00+01:00
GBPCAD,SHORT,1.8362700426101684,1.83879,1000,-25.2,-2.67,0.15,0.0,2,SL,2026-05-18 10:00:00+01:00,2026-05-18 12:00:00+01:00
GBPCAD,SHORT,1.8439599954605101,1.8471,1000,-31.4,-3.29,0.15,0.0,19,SL,2026-05-18 18:00:00+01:00,2026-05-19 13:00:00+01:00
GBPCAD,SHORT,1.8603300535202025,1.86245,2000,-21.2,-4.54,0.3,0.0,12,SL,2026-06-08 01:00:00+01:00,2026-06-08 13:00:00+01:00
GBPCAD,SHORT,1.8605999433517455,1.86283,2000,-22.3,-4.76,0.3,0.0,4,SL,2026-06-09 01:00:00+01:00,2026-06-09 05:00:00+01:00
GBPCAD,SHORT,1.8667000019073485,1.86953,1000,-28.3,-2.98,0.15,0.0,9,SL,2026-06-19 00:00:00+01:00,2026-06-19 09:00:00+01:00
GBPCAD,SHORT,1.8935499870300292,1.88872,2000,48.3,9.37,0.3,0.0,8,TP,2026-07-13 13:00:00+01:00,2026-07-13 21:00:00+01:00
GBPCAD,SHORT,1.886190005493164,1.88841,2000,-22.2,-4.74,0.3,0.0,1,SL,2026-07-14 11:00:00+01:00,2026-07-14 12:00:00+01:00
GBPCAD,SHORT,1.8829500162124633,1.88559,1000,-26.4,-2.79,0.15,0.0,11,SL,2026-07-14 20:00:00+01:00,2026-07-15 07:00:00+01:00
GBPCAD,SHORT,1.8903099977493285,1.89299,1000,-26.8,-2.83,0.15,0.0,1,SL,2026-07-15 14:00:00+01:00,2026-07-15 15:00:00+01:00
GBPCAD,SHORT,1.892309972000122,1.88622,1000,60.9,5.94,0.15,0.0,18,TP,2026-07-16 15:00:00+01:00,2026-07-17 09:00:00+01:00
GBPCAD,SHORT,1.8845400297164916,1.88662,2000,-20.8,-4.46,0.3,0.0,6,SL,2026-07-20 00:00:00+01:00,2026-07-20 06:00:00+01:00
GBPCAD,SHORT,1.8894199811935424,1.89142,2000,-20.0,-4.31,0.3,0.0,10,SL,2026-07-20 12:00:00+01:00,2026-07-20 22:00:00+01:00
GBPCAD,SHORT,1.8902600490570067,1.88543,2000,48.3,9.36,0.3,0.0,4,TP,2026-07-21 08:00:00+01:00,2026-07-21 12:00:00+01:00
GBPCAD,SHORT,1.8851099693298339,1.8878,1000,-26.9,-2.84,0.15,0.0,2,SL,2026-07-21 16:00:00+01:00,2026-07-21 18:00:00+01:00
GBPCAD,SHORT,1.8773899757385253,1.87938,2000,-19.9,-4.29,0.3,0.0,10,SL,2026-07-24 13:00:00+01:00,2026-07-27 00:00:00+01:00
GBPCAD,SHORT,1.8817200147628783,1.87762,2000,41.0,7.9,0.3,0.0,5,TP,2026-07-27 07:00:00+01:00,2026-07-27 12:00:00+01:00
GBPCAD,SHORT,1.8843500101089476,1.88619,2000,-18.4,-3.97,0.3,0.0,8,SL,2026-08-06 22:00:00+01:00,2026-08-07 06:00:00+01:00
GBPCAD,SHORT,1.881669946861267,1.88353,2000,-18.6,-4.01,0.3,0.0,10,SL,2026-08-07 20:00:00+01:00,2026-08-10 07:00:00+01:00
GBPCAD,SHORT,1.8837799512863158,1.88542,2000,-16.4,-3.59,0.3,0.0,1,SL,2026-08-10 14:00:00+01:00,2026-08-10 15:00:00+01:00
GBPCAD,SHORT,1.8795999967575072,1.88123,2000,-16.3,-3.57,0.3,0.0,8,SL,2026-08-11 18:00:00+01:00,2026-08-12 02:00:00+01:00
GBPCAD,SHORT,1.8788799726486205,1.88054,2000,-16.6,-3.63,0.3,0.0,13,SL,2026-08-14 01:00:00+01:00,2026-08-14 14:00:00+01:00
GBPCAD,SHORT,1.8776800119400023,1.87925,2000,-15.7,-3.44,0.3,0.0,2,SL,2026-08-14 22:00:00+01:00,2026-08-17 01:00:00+01:00
GBPCAD,SHORT,1.8803699695587157,1.88225,2000,-18.8,-4.07,0.3,0.0,4,SL,2026-08-18 15:00:00+01:00,2026-08-18 19:00:00+01:00
GBPCAD,SHORT,1.875150033187866,1.87726,2000,-21.1,-4.52,0.3,0.0,2,SL,2026-08-21 13:00:00+01:00,2026-08-21 15:00:00+01:00
GBPCAD,SHORT,1.8772400104522704,1.87925,2000,-20.1,-4.32,0.3,0.0,2,SL,2026-08-21 21:00:00+01:00,2026-08-24 00:00:00+01:00
GBPCAD,SHORT,1.8831599437713622,1.87861,2000,45.5,8.7,0.3,0.1,45,TP,2026-08-27 17:00:00+01:00,2026-08-31 15:00:00+01:00
GBPCAD,SHORT,1.8773899757385253,1.87903,2000,-16.4,-3.58,0.3,0.0,11,SL,2026-09-01 01:00:00+01:00,2026-09-01 12:00:00+01:00
GBPCAD,SHORT,1.877379962158203,1.87932,2000,-19.4,-4.18,0.3,0.0,12,SL,2026-09-01 19:00:00+01:00,2026-09-02 07:00:00+01:00
GBPCAD,SHORT,1.8647299491882323,1.86705,1000,-23.2,-2.47,0.15,0.0,10,SL,2026-09-03 21:00:00+01:00,2026-09-04 07:00:00+01:00
GBPCAD,SHORT,1.8723699533462523,1.86601,1000,63.6,6.16,0.15,0.05,41,TP,2026-09-04 13:00:00+01:00,2026-09-08 07:00:00+01:00
GBPCAD,SHORT,1.8662700139999389,1.86819,2000,-19.2,-4.13,0.3,0.0,19,SL,2026-09-08 17:00:00+01:00,2026-09-09 12:00:00+01:00
GBPCAD,SHORT,1.871259995651245,1.86692,2000,43.4,8.38,0.3,0.0,19,TP,2026-09-09 18:00:00+01:00,2026-09-10 13:00:00+01:00
GBPCAD,SHORT,1.8725000106811522,1.87481,2000,-23.1,-4.92,0.3,0.0,15,SL,2026-09-16 20:00:00+01:00,2026-09-17 11:00:00+01:00
GBPCAD,SHORT,1.8679300033569335,1.87047,1000,-25.4,-2.69,0.15,0.0,12,SL,2026-09-17 19:00:00+01:00,2026-09-18 07:00:00+01:00
