pair,direction,entry_price,exit_price,units,pnl_pips,pnl_usd,spread_cost,swap_cost,bars_held,reason,entry_date,exit_date
GBPJPY,SHORT,216.84900390625,216.72501,1000,12.4,1.09,0.15,0.0,5,Signal flip,2026-08-26 08:15:00+01:00,2026-08-26 09:30:00+01:00
GBPJPY,SHORT,216.57100402832032,216.23809,1000,33.3,3.13,0.15,0.05,24,TP,2026-08-26 16:00:00+01:00,2026-08-26 22:00:00+01:00
GBPJPY,SHORT,216.4899951171875,216.528,1000,-3.8,-0.63,0.15,0.1,49,Signal flip,2026-08-26 23:45:00+01:00,2026-08-27 12:00:00+01:00
GBPJPY,SHORT,216.62399780273438,216.76196,1000,-13.8,-1.53,0.15,0.0,3,SL,2026-08-28 03:15:00+01:00,2026-08-28 04:00:00+01:00
GBPJPY,LONG,216.96200073242187,216.70367,1000,-25.8,-2.73,0.15,0.0,6,SL,2026-08-28 15:45:00+01:00,2026-08-28 17:15:00+01:00
GBPJPY,SHORT,216.39499389648438,216.56686,1000,-17.2,-1.87,0.15,0.0,15,SL,2026-08-31 03:45:00+01:00,2026-08-31 07:30:00+01:00
GBPJPY,SHORT,216.32700073242188,216.47165,1000,-14.5,-1.6,0.15,0.0,11,SL,2026-08-31 11:15:00+01:00,2026-08-31 14:00:00+01:00
GBPJPY,SHORT,216.48199951171875,216.13347,1000,34.9,3.29,0.15,0.05,26,TP,2026-09-01 23:15:00+01:00,2026-09-02 05:45:00+01:00
GBPJPY,SHORT,214.34500610351563,213.80211,1000,54.3,5.28,0.15,0.0,11,TP,2026-09-02 19:15:00+01:00,2026-09-02 22:00:00+01:00
GBPJPY,SHORT,213.98599731445313,214.26469,1000,-27.9,-2.94,0.15,0.0,7,SL,2026-09-02 23:00:00+01:00,2026-09-03 00:45:00+01:00
GBPJPY,SHORT,210.61000549316407,210.744,1000,-13.4,-1.49,0.15,0.0,23,Signal flip,2026-09-03 16:15:00+01:00,2026-09-03 22:00:00+01:00
GBPJPY,SHORT,211.74899780273438,211.14817,1000,60.1,5.86,0.15,0.0,21,TP,2026-09-04 08:00:00+01:00,2026-09-04 13:15:00+01:00
GBPJPY,SHORT,210.83699523925782,210.619,1000,21.8,1.93,0.15,0.1,53,Signal flip,2026-09-04 16:00:00+01:00,2026-09-07 06:45:00+01:00
GBPJPY,SHORT,209.3510028076172,209.356,1000,-0.5,-0.2,0.15,0.0,5,Signal flip,2026-09-07 11:15:00+01:00,2026-09-07 12:30:00+01:00
GBPJPY,SHORT,209.06200134277344,208.34315,1000,71.9,6.99,0.15,0.05,39,TP,2026-09-07 14:30:00+01:00,2026-09-08 00:15:00+01:00
GBPJPY,SHORT,208.51599609375,208.89522,1000,-37.9,-3.94,0.15,0.0,5,SL,2026-09-08 11:30:00+01:00,2026-09-08 12:45:00+01:00
GBPJPY,SHORT,207.82899963378907,207.718,1000,11.1,0.96,0.15,0.0,19,Signal flip,2026-09-11 17:00:00+01:00,2026-09-11 21:45:00+01:00
GBPJPY,LONG,208.4459942626953,208.22755,1000,-21.8,-2.33,0.15,0.0,18,SL,2026-09-14 12:00:00+01:00,2026-09-14 16:30:00+01:00
GBPJPY,LONG,208.36800659179687,208.82798,1000,46.0,4.45,0.15,0.0,17,TP,2026-09-14 23:00:00+01:00,2026-09-15 03:15:00+01:00
GBPJPY,LONG,208.90200317382812,208.992,1000,9.0,0.75,0.15,0.0,2,Signal flip,2026-09-15 22:45:00+01:00,2026-09-15 23:15:00+01:00
GBPJPY,LONG,208.90799987792968,208.71514,1000,-19.3,-2.08,0.15,0.0,6,SL,2026-09-16 14:00:00+01:00,2026-09-16 15:30:00+01:00
GBPJPY,LONG,208.932001953125,208.66684,1000,-26.5,-2.8,0.15,0.0,19,SL,2026-09-16 20:15:00+01:00,2026-09-17 01:00:00+01:00
GBPJPY,LONG,208.56499755859375,209.00758,1000,44.3,4.28,0.15,0.0,12,TP,2026-09-18 00:45:00+01:00,2026-09-18 03:45:00+01:00
GBPJPY,LONG,209.79099548339843,209.645,1000,-14.6,-1.61,0.15,0.0,1,Signal flip,2026-09-18 17:00:00+01:00,2026-09-18 17:15:00+01:00
GBPJPY,LONG,209.78299987792968,210.136,1000,35.3,3.38,0.15,0.0,17,End of backtest,2026-09-18 18:00:00+01:00,2026-09-18 22:15:00+01:00
