pair,direction,entry_price,exit_price,units,pnl_pips,pnl_usd,spread_cost,swap_cost,bars_held,reason,entry_date,exit_date
USDCAD,LONG,1.389499954032898,1.3955,2000,60.0,8.7,0.23,0.07,28,TP,2025-09-25 06:00:00+01:00,2025-09-26 10:00:00+01:00
USDCAD,SHORT,1.4017999851226806,1.4048,2000,-30.0,-4.8,0.23,0.07,30,SL,2025-11-14 12:00:00+00:00,2025-11-17 19:00:00+00:00
USDCAD,SHORT,1.4044099533081054,1.39841,2000,60.0,8.7,0.23,0.07,28,TP,2025-11-27 10:00:00+00:00,2025-11-28 14:00:00+00:00
USDCAD,SHORT,1.3672500335693358,1.37025,2000,-30.0,-4.95,0.23,0.23,86,SL,2025-12-24 21:00:00+00:00,2025-12-30 12:00:00+00:00
USDCAD,LONG,1.3806200540542604,1.38662,2000,60.0,8.78,0.23,0.0,15,TP,2026-01-07 11:00:00+00:00,2026-01-08 02:00:00+00:00
USDCAD,SHORT,1.3833599769592284,1.37736,2000,60.0,8.63,0.23,0.15,62,TP,2026-01-20 22:00:00+00:00,2026-01-23 12:00:00+00:00
USDCAD,LONG,1.3688500440597535,1.36578,2000,-30.7,-4.9,0.23,0.07,36,SL,2026-02-19 11:00:00+00:00,2026-02-23 00:00:00+00:00
USDCAD,SHORT,1.3649299823760985,1.36911,1000,-41.8,-3.25,0.11,0.0,11,SL,2026-03-05 04:00:00+00:00,2026-03-05 15:00:00+00:00
USDCAD,LONG,1.38652997379303,1.39253,2000,60.0,8.78,0.23,0.0,21,TP,2026-03-27 14:00:00+00:00,2026-03-30 13:00:00+01:00
USDCAD,SHORT,1.3822700464248656,1.38527,2000,-30.0,-4.72,0.23,0.0,19,SL,2026-04-10 04:00:00+01:00,2026-04-13 00:00:00+01:00
USDCAD,SHORT,1.367950030517578,1.36195,2000,60.0,8.78,0.23,0.0,20,TP,2026-04-24 12:00:00+01:00,2026-04-27 09:00:00+01:00
USDCAD,LONG,1.372139982032776,1.37814,2000,60.0,8.4,0.23,0.38,121,TP,2026-05-14 12:00:00+01:00,2026-05-21 14:00:00+01:00
USDCAD,SHORT,1.405260034751892,1.40826,2000,-30.0,-4.95,0.23,0.23,80,SL,2026-07-15 13:00:00+01:00,2026-07-20 22:00:00+01:00
USDCAD,SHORT,1.4018500530242919,1.40492,2000,-30.7,-4.84,0.23,0.0,8,SL,2026-07-31 05:00:00+01:00,2026-07-31 13:00:00+01:00
USDCAD,SHORT,1.3866500341415404,1.38965,2000,-30.0,-4.72,0.23,0.0,15,SL,2026-08-18 02:00:00+01:00,2026-08-18 17:00:00+01:00
USDCAD,SHORT,1.3778500043869017,1.38085,2000,-30.0,-4.72,0.23,0.0,5,SL,2026-09-09 11:00:00+01:00,2026-09-09 16:00:00+01:00
USDCAD,LONG,1.391650012779236,1.39765,2000,60.0,8.7,0.23,0.07,32,TP,2026-09-15 11:00:00+01:00,2026-09-16 19:00:00+01:00
USDCAD,LONG,1.398250035095215,1.40296,2000,47.1,6.84,0.23,0.0,50,End of backtest,2026-09-17 15:00:00+01:00,2026-09-21 18:00:00+01:00
