pair,direction,entry_price,exit_price,units,pnl_pips,pnl_usd,spread_cost,swap_cost,bars_held,reason,entry_date,exit_date
USDJPY,SHORT,158.50400268554688,158.89493,1000,-39.1,-2.79,0.1,0.03,25,SL,2026-03-23 12:00:00+00:00,2026-03-24 13:00:00+00:00
USDJPY,LONG,159.65999877929687,159.4677,1000,-19.2,-1.41,0.1,0.0,4,SL,2026-03-26 16:00:00+00:00,2026-03-26 20:00:00+00:00
USDJPY,SHORT,158.7050067138672,159.02659,1000,-32.2,-2.29,0.1,0.0,8,SL,2026-04-01 18:00:00+01:00,2026-04-02 02:00:00+01:00
USDJPY,SHORT,158.72400390625,159.03489,1000,-31.1,-2.22,0.1,0.0,14,SL,2026-04-08 19:00:00+01:00,2026-04-09 09:00:00+01:00
USDJPY,SHORT,159.08600341796875,159.27455,1000,-18.9,-1.38,0.1,0.0,3,SL,2026-04-14 04:00:00+01:00,2026-04-14 07:00:00+01:00
USDJPY,SHORT,158.84799682617188,159.05716,1000,-20.9,-1.52,0.1,0.0,13,SL,2026-04-14 14:00:00+01:00,2026-04-15 03:00:00+01:00
USDJPY,SHORT,158.76199829101563,158.95259,1000,-19.1,-1.4,0.1,0.0,2,SL,2026-04-15 09:00:00+01:00,2026-04-15 11:00:00+01:00
USDJPY,SHORT,158.86800109863282,159.0763,1000,-20.8,-1.52,0.1,0.0,1,SL,2026-04-15 17:00:00+01:00,2026-04-15 18:00:00+01:00
USDJPY,SHORT,158.83699523925782,159.05107,1000,-21.4,-1.56,0.1,0.0,3,SL,2026-04-16 06:00:00+01:00,2026-04-16 09:00:00+01:00
USDJPY,SHORT,159.07100402832032,159.29519,1000,-22.4,-1.63,0.1,0.0,9,SL,2026-04-16 16:00:00+01:00,2026-04-17 01:00:00+01:00
USDJPY,SHORT,158.59700500488282,158.89116,1000,-29.4,-2.1,0.1,0.0,1,SL,2026-04-17 21:00:00+01:00,2026-04-20 00:00:00+01:00
USDJPY,SHORT,158.93900024414063,159.21578,1000,-27.7,-2.02,0.1,0.03,26,SL,2026-04-20 06:00:00+01:00,2026-04-21 10:00:00+01:00
USDJPY,SHORT,159.21800720214844,159.40349,1000,-18.5,-1.36,0.1,0.0,2,SL,2026-04-27 04:00:00+01:00,2026-04-27 06:00:00+01:00
USDJPY,SHORT,159.1879931640625,159.37271,1000,-18.5,-1.36,0.1,0.0,5,SL,2026-04-27 12:00:00+01:00,2026-04-27 17:00:00+01:00
USDJPY,SHORT,157.07100402832032,156.19298,1000,87.8,5.87,0.1,0.0,6,TP,2026-05-01 01:00:00+01:00,2026-05-01 07:00:00+01:00
USDJPY,SHORT,156.61899291992188,157.18971,1000,-57.1,-3.98,0.1,0.0,20,SL,2026-05-01 08:00:00+01:00,2026-05-04 11:00:00+01:00
USDJPY,SHORT,157.2209979248047,157.44512,1000,-22.4,-1.63,0.1,0.0,2,SL,2026-05-05 08:00:00+01:00,2026-05-05 10:00:00+01:00
USDJPY,SHORT,157.67000305175782,157.91418,1000,-24.4,-1.76,0.1,0.0,3,SL,2026-05-05 16:00:00+01:00,2026-05-05 19:00:00+01:00
USDJPY,SHORT,157.58600341796875,157.80437,1000,-21.8,-1.59,0.1,0.0,2,SL,2026-05-06 01:00:00+01:00,2026-05-06 03:00:00+01:00
USDJPY,SHORT,156.07399475097657,156.56692,1000,-49.3,-3.49,0.1,0.03,29,SL,2026-05-06 12:00:00+01:00,2026-05-07 17:00:00+01:00
USDJPY,SHORT,156.8669940185547,157.12551,1000,-25.9,-1.89,0.1,0.03,26,SL,2026-05-07 23:00:00+01:00,2026-05-11 03:00:00+01:00
USDJPY,SHORT,157.29999267578125,157.53431,1000,-23.4,-1.7,0.1,0.0,2,SL,2026-05-12 06:00:00+01:00,2026-05-12 08:00:00+01:00
USDJPY,SHORT,160.05299865722657,160.23338,1000,-18.0,-1.33,0.1,0.0,3,SL,2026-06-12 10:00:00+01:00,2026-06-12 13:00:00+01:00
USDJPY,SHORT,161.5229998779297,161.72629,1000,-20.3,-1.48,0.1,0.0,1,SL,2026-07-06 01:00:00+01:00,2026-07-06 02:00:00+01:00
USDJPY,SHORT,161.95999633789063,162.17395,1000,-21.4,-1.56,0.1,0.0,2,SL,2026-07-14 15:00:00+01:00,2026-07-14 17:00:00+01:00
USDJPY,SHORT,163.29500305175782,163.47894,1000,-18.4,-1.35,0.1,0.0,1,SL,2026-07-30 00:00:00+01:00,2026-07-30 01:00:00+01:00
USDJPY,SHORT,159.98399841308594,159.8184,1000,16.6,1.02,0.1,0.0,4,Trail,2026-07-31 10:00:00+01:00,2026-07-31 14:00:00+01:00
